split,image,model,embedding_score,proxy_fidelity_score,review_severity,description
MGEval,16_875.jpg,openai/clip-vit-base-patch32,0.359309,1.000,low,"The google map shows a location labeled ""Dailey Cemetery"" situated near River Ridge Road. The area is predominantly green, indicating a natural or undeveloped region. There is a small body of water visible in the lower left corner. The roads appear to be curving, suggesting a rural setting."
MGEval,16_939.jpg,openai/clip-vit-base-patch32,0.320189,1.000,low,"The google map shows a section of an area with a road labeled ""King Rd"" running diagonally from the top left to the bottom center. To the right of the road is a waterway labeled ""Pleasant Run,"" which curves from the top right to the bottom center. There is a small body of water located to the left of King Rd. The background is a light green, indicating land."
MGEval,16_943.jpg,openai/clip-vit-base-patch32,0.260293,1.000,low,"The map shows an intersection of two roads: Charlestown-Jeffersonville Pike and Salem-Noble Rd. The roads intersect at an angle, with Charlestown-Jeffersonville Pike running from the southwest to the northeast , and Salem-Noble Rd running diagonally from the northwest to the southeast. There is a green area in the northwest corner, indicating a possible park or wooded area. The rest of the map is a light beige color, suggesting open land or developed areas."
MGEval,16_983.jpg,openai/clip-vit-base-patch32,0.402863,1.000,low,"The google map shows a location marked as ""Homestead Ag Supply"" situated near a road labeled ""Stiller Rd."" The area appears to be predominantly green, indicating open or rural land. The marked location is positioned to the west of Stiller Rd."
MapTrain,16_12.jpg,openai/clip-vit-base-patch32,0.380310,0.870,medium,"The google map shows a water body labeled ""Scotts Creek"" in blue. Surrounding the creek are areas of light green, indicating land. The creek appears to flow through the land, with no additional geographic features or labels visible."
MapTrain,16_136.jpg,openai/clip-vit-base-patch32,0.300392,0.870,medium,"The google map shows a section of Thompson Mill Road, which runs diagonally from the northeast to the southwest. The surrounding area is shaded in light green, indicating a likely rural or undeveloped region. There are no additional geographic entities or landmarks visible on this map segment."
MapTrain,16_159.jpg,openai/clip-vit-base-patch32,0.372641,0.870,medium,"The google map shows a location marked as ""Silva Guard Inc."" It is situated near a linear feature, possibly a road or a boundary, which runs diagonally across the map. The background is light blue, suggesting a water body or a specific map layer. There are no additional geographic entities or labels visible."
MapTrain,16_166.jpg,openai/clip-vit-base-patch32,0.418686,0.820,medium,"The google map shows a section of a road with two notable locations. The Marblehead Chowder House NJ is situated near the road, marked with a dining icon. Nearby, the Bryan Animal Hospital is also indicated, located slightly to the northwest of the chowder house. The background is green, suggesting a non-urban area."
MapTrain,16_168.jpg,openai/clip-vit-base-patch32,0.300318,0.870,medium,"The google map shows a section of Manalapan Brook, which flows vertically from the top to the bottom of the image. The brook is depicted in blue, indicating a waterway. The surrounding area is shaded in light green, suggesting land or vegetation. There are no additional geographic entities or labels visible on this map section."
MapTrain,16_202.jpg,openai/clip-vit-base-patch32,0.314641,0.690,medium,"The google map shows a light green area with a blue line labeled ""Sunken Branch,"" indicating a waterway. The waterway has a few curves and branches off into smaller streams. The surrounding area appears to be relatively flat, with no additional geographic features marked."
MapTrain,16_212.jpg,openai/clip-vit-base-patch32,0.354894,0.870,medium,"The google map shows a section of Penns Park Road, which runs horizontally across the image. The surrounding area is shaded in green, indicating a likely rural or undeveloped region. There are no additional geographic entities or landmarks visible on this map segment."
MapTrain,16_216.jpg,openai/clip-vit-base-patch32,0.316282,0.870,medium,"The google map shows a section of land featuring Cranbury Brook, which flows diagonally from the northwest to the southeast. Dugans Grove Road runs parallel to the brook on the eastern side. The surrounding area is shaded green, indicating a natural or park-like environment. There are no additional geographic entities or labels visible."
MapTrain,16_23.jpg,openai/clip-vit-base-patch32,0.360402,0.690,medium,"The google map shows a section of ""Hill Rd"" running horizontally. A blue line, likely representing a waterway, runs parallel and slightly above the road. The background is light green, indicating a land area. There are no additional geographic entities or labels visible."
MapTrain,16_257.jpg,openai/clip-vit-base-patch32,0.352295,0.820,medium,"The google map shows a section of a road network with a major highway running vertically through the center. The Mercer County Bar Association is marked along this highway. To the southwest, Miry Run is labeled, indicating a nearby water feature. The map includes surrounding green areas, suggesting parks or undeveloped land. The highway has multiple lanes and exits, indicating a significant transportation route."
MapTrain,16_31.jpg,openai/clip-vit-base-patch32,0.362542,0.870,medium,"The google map shows a section of the Schuylkill River, depicted in blue, flowing horizontally across the image. The surrounding area is shaded in light green, indicating land. There are no additional geographic entities or labels visible in this section of the map."
MapTrain,16_331.jpg,openai/clip-vit-base-patch32,0.323810,0.870,medium,"The google map shows a road labeled ""Carriage Way"" running diagonally across the image. The surrounding area is shaded in green, indicating a natural or park area. There are no additional geographic entities or labels visible."
MapTrain,16_348.jpg,openai/clip-vit-base-patch32,0.373976,0.690,medium,"The google map shows a location labeled ""Corkum Tree Farm."" There are light blue lines indicating roads or pathways surrounding the area. The map is minimalistic, with no additional geographic features or landmarks visible."
MapTrain,16_35.jpg,openai/clip-vit-base-patch32,0.369633,0.870,medium,"The google map shows an area labeled ""Money Island."" A blue line, likely representing a waterway, runs vertically through the map. The surrounding area is shaded in light green, indicating land. The map is simple, with no additional geographic features or labels visible."
MapTrain,16_36.jpg,openai/clip-vit-base-patch32,0.303626,1.000,low,"The google map shows a section of a water body with a dashed line indicating a boundary between Pennsylvania and New Jersey. The land area is shaded in light green, while the water is in blue. The boundary line runs through the water, separating the two states."
MapTrain,16_362.jpg,openai/clip-vit-base-patch32,0.403646,0.820,medium,"The google map shows the location of the Commonwealth National Golf Club. It features a road network with a roundabout near the golf club. The area is predominantly green, indicating open spaces or parkland. The golf club is centrally located within the map."
MapTrain,16_373.jpg,openai/clip-vit-base-patch32,0.316893,0.510,high,"The google map shows a section of Adelphia-Farmingdale Road, which runs horizontally across the image. There is a marked location for ""Our House Restaurant and Banquet Facility"" near the road. The surrounding area includes some roads and open spaces, with no additional geographic entities labeled."
MapTrain,16_385.jpg,openai/clip-vit-base-patch32,0.321170,0.870,medium,"The google map shows two roads: Hawks Nest Ln and Hollow Rd. Hawks Nest Ln runs horizontally, while Hollow Rd runs vertically and intersects with Hawks Nest Ln. The surrounding area is shaded in light green, indicating a natural or undeveloped area. There are no additional geographic entities or landmarks visible."
MapTrain,16_467.jpg,openai/clip-vit-base-patch32,0.370939,0.870,medium,"The google map shows a section of Allentown Lakewood Road running horizontally across the image. The surrounding area is shaded in light green, indicating open space or undeveloped land. There are no additional geographic entities or landmarks visible on this map segment."
MapTrain,16_478.jpg,openai/clip-vit-base-patch32,0.370546,0.870,medium,"The google map shows a section of Emleys Hill Road, which runs horizontally across the image. The surrounding area is shaded in light green, indicating a natural or undeveloped region. There are no additional geographic entities or landmarks visible on this map segment."
MapTrain,16_489.jpg,openai/clip-vit-base-patch32,0.316413,0.870,medium,"The google map shows a section of Herbertsville Road running vertically through a green area, which likely represents a park or forested region. The road is the main feature, with no additional geographic entities or labels visible."
MapTrain,16_5.jpg,openai/clip-vit-base-patch32,0.406854,0.870,medium,"The google map shows a body of water labeled ""Scotts Creek."" The surrounding area is primarily water, with some land visible at the edges. The map is focused on the creek itself, with no additional geographic features or landmarks indicated."
MapTrain,16_54.jpg,openai/clip-vit-base-patch32,0.345553,0.690,medium,"The google map shows a section of land featuring Neshaminy Creek, which flows in a generally southeast direction. Above the creek, there is a road labeled ""Rte 202"" running horizontally across the map. The surrounding area is shaded in light green, indicating land, with the creek depicted in blue. There are no additional geographic entities or labels visible in this section of the map."
MapTrain,16_56.jpg,openai/clip-vit-base-patch32,0.364265,1.000,low,"The google map shows a section of the Philadelphia Cricket Club - Militia Hill Course. It features a light green area representing the golf course, with a blue line indicating a waterway running through it. The course is marked with a location pin. The surrounding area is also green, suggesting open or undeveloped land. There are no visible roads or urban structures in this section."
MapTrain,16_574.jpg,openai/clip-vit-base-patch32,0.376760,0.870,medium,"The google map shows a section of Del Puerto Creek, which flows in a generally curved path from the northwest to the southeast. The creek is depicted in blue, indicating a water feature. The surrounding area is shaded in light green, suggesting land or terrain. There are no additional geographic entities or labels visible in this section of the map."
MapTrain,16_58.jpg,openai/clip-vit-base-patch32,0.434941,1.000,low,"The google map shows a section of land featuring Haystack Brook, which flows horizontally across the upper part of the map. Below the brook, there is a location marked as Utopia Horse Farm. The area is depicted with a light green background, indicating a natural or rural setting."
MapTrain,16_587.jpg,openai/clip-vit-base-patch32,0.296624,0.690,medium,"The google map shows a section of Del Puerto Canyon Road, which runs horizontally across the image. The road is depicted in blue, indicating its path through a light green area, which likely represents surrounding land or terrain. The road has a slight curve, suggesting a winding route. There are no additional geographic entities or labels visible on this map section."
MapTrain,16_601.jpg,openai/clip-vit-base-patch32,0.355047,0.640,medium,"The google map shows a section of the Robert T. Monagan Freeway, which runs horizontally across the image. There is a thin, light blue line intersecting the freeway, possibly indicating a waterway or road. The background is a light green, suggesting a general land area."
MapTrain,16_609.jpg,openai/clip-vit-base-patch32,0.340958,0.870,medium,"The google map shows a section of Norris Canyon Road, which curves through a green area, indicating a natural or undeveloped region. The road is the primary feature, with no additional geographic entities or landmarks visible."
MapTrain,16_620.jpg,openai/clip-vit-base-patch32,0.349217,0.870,medium,"The google map shows a section of Isabel Creek, depicted as a blue line running horizontally across the image. The surrounding area is a light beige color, indicating land. There are no additional geographic entities or labels visible on this map section."
MapTrain,16_630.jpg,openai/clip-vit-base-patch32,0.347089,0.690,medium,"The google map shows a section of a river running vertically through the center. A road labeled ""Shiells Rd"" crosses the river horizontally. The surrounding area appears to be open land or rural, with no additional geographic entities or features marked."
MapTrain,16_634.jpg,openai/clip-vit-base-patch32,0.300260,1.000,low,"The google map shows a network of roads in a residential area. Key roads include Via Valverde, Via Belmonte, Via Portada, Via Granja, and Via Laguna. The roads are arranged in a curvilinear pattern, with some intersections. The area is surrounded by green spaces, indicating parks or undeveloped land."
MapTrain,16_647.jpg,openai/clip-vit-base-patch32,0.339537,1.000,low,"The google map shows a location labeled ""Silver Creek Self Storage."" There are several roads depicted, with one road curving around the area near the label. The map background is a light color, and the roads are marked with thin lines. There are no additional geographic features or labels visible in this section of the map."
MapTrain,16_652.jpg,openai/clip-vit-base-patch32,0.316243,0.870,medium,"The google map shows a section of San Antonio Valley Road, which runs vertically through the center of the image. The surrounding area is shaded in green, indicating a natural or rural landscape. There are no additional geographic entities or landmarks visible on this map section."
MapTrain,16_683.jpg,openai/clip-vit-base-patch32,0.355909,0.690,medium,"The google map shows a location labeled ""WM - Guadalupe Rubbish Disposal Facility."" It is situated among several intersecting roads. The surrounding area is shaded in green, indicating open or undeveloped land. There are no additional geographic entities or landmarks visible in this section of the map."
MapTrain,16_701.jpg,openai/clip-vit-base-patch32,0.398493,0.870,medium,"The google map shows an area labeled ""Middle Ridge."" It features a dashed line indicating a boundary or path running through the region. The map background is shaded in light green, suggesting a natural or rural area. There are no additional geographic entities or landmarks visible."
MapTrain,16_709.jpg,openai/clip-vit-base-patch32,0.284375,1.000,low,"The google map shows a section of Collier Canyon Road, which runs vertically through the center. There are a few intersecting roads branching off horizontally. The background is a light beige color, indicating a non-urban area. No additional geographic features or labels are present."
MapTrain,16_714.jpg,openai/clip-vit-base-patch32,0.363912,1.000,low,"The google map shows the Brushy Peak Regional Preserve, which is highlighted in green. There are two small blue areas within the preserve, indicating bodies of water. A light purple line runs through the area, suggesting a road or trail. The surrounding area is also green, indicating a natural or undeveloped region."
MapTrain,16_719.jpg,openai/clip-vit-base-patch32,0.383261,0.690,medium,"The google map shows the Calero Reservoir, depicted in blue, surrounded by beige land areas. The reservoir has an irregular shape with several inlets and extensions. There are no additional geographic entities or labels visible in this section of the map."
MapTrain,16_735.jpg,openai/clip-vit-base-patch32,0.358984,0.870,medium,"The google map shows a section of Kalana Ave, which runs horizontally across the image. The surrounding area is shaded in green, indicating a likely natural or undeveloped region. There are no additional geographic entities or landmarks visible on this map section."
MapTrain,16_745.jpg,openai/clip-vit-base-patch32,0.353397,0.870,medium,"The google map shows a section of a road labeled ""The Cross Rd."" The road appears to have a winding path, with several curves. The surrounding area is shaded in green, indicating a likely natural or undeveloped region. There are no additional geographic entities or landmarks visible on this map section."
MapTrain,16_761.jpg,openai/clip-vit-base-patch32,0.383295,0.870,medium,"The google map shows a section of Herbert Creek, depicted as a blue line running diagonally from the northwest to the southeast. The surrounding area is shaded in light green, indicating land. There are no additional geographic entities or labels visible in this section of the map."
MapTrain,16_764.jpg,openai/clip-vit-base-patch32,0.341308,0.870,medium,"The google map shows a section of Willow Springs Road, which curves through the area. The road is the primary feature visible, with no additional geographic entities or landmarks marked in the immediate vicinity. The background is a plain, light color, indicating a lack of detailed topographical or urban features."
MapTrain,16_784.jpg,openai/clip-vit-base-patch32,0.309389,0.870,medium,"The google map shows a section of Los Gatos Creek, which flows in a generally southwest to northeast direction. The creek is depicted in light blue, indicating a waterway, and is surrounded by a light green area, suggesting a natural or undeveloped region. There are no additional geographic entities or landmarks visible in this section of the map."
MapTrain,16_788.jpg,openai/clip-vit-base-patch32,0.323537,0.870,medium,"The google map shows a body of water labeled ""Cottonwood Bay."" The bay is depicted in blue, with irregular, jagged edges indicating the shoreline. Surrounding the bay is a beige area, likely representing land. The map focuses on the bay itself, with no additional geographic entities or labels visible."
MapTrain,16_834.jpg,openai/clip-vit-base-patch32,0.319525,0.870,medium,"The google map shows a section of Croy Ridge Road, which runs vertically through the center. The surrounding area is shaded in light green, indicating a natural or undeveloped region. There are no additional geographic entities or landmarks visible on this map segment."
MapTrain,16_840.jpg,openai/clip-vit-base-patch32,0.412632,0.870,medium,"The google map shows a location labeled ""Tuscan House Vineyards"" with an icon indicating a wine-related establishment. It is situated near a road named ""Soma Way."" The surrounding area appears to have a network of roads, but no additional geographic features or entities are labeled."
MapTrain,16_930.jpg,openai/clip-vit-base-patch32,0.387018,0.870,medium,"The google map shows an area labeled ""Durham Ferry Outdoor Education Center."" The map features a network of roads or paths surrounding the center. The background is shaded in green, indicating a natural or park-like setting. There are no additional geographic entities or landmarks visible in this section of the map."
MapTrain,16_945.jpg,openai/clip-vit-base-patch32,0.290746,0.870,medium,"The google map shows a section of ""2 Rivers Rd,"" which curves slightly. The surrounding area is shaded in light green, indicating a possible natural or undeveloped area. There are no additional geographic entities or landmarks visible on this map segment."
MapTrain,16_97.jpg,openai/clip-vit-base-patch32,0.350465,0.870,medium,"The google map shows a section where Herman Black Road intersects with Sykesville Road. The roads are depicted in light gray against a light green background, indicating a rural or undeveloped area. Herman Black Road runs horizontally, while Sykesville Road runs vertically, intersecting near the center of the map. There are no additional geographic features or landmarks visible."
MapTrain,16_1.jpg,openai/clip-vit-base-patch32,0.313659,1.000,low,"The google map shows a section of Long Mill Road, which runs diagonally from the top left to the bottom right. Another road, Old Mill Road, intersects with Long Mill Road from the bottom right. The background is green, indicating a likely rural or undeveloped area. There is an icon indicating a school or educational facility near the top left of the map."
MapTrain,16_100.jpg,openai/clip-vit-base-patch32,0.334736,1.000,low,"The google map shows a section of Hunsicker Road, which runs diagonally from the top left to the bottom right. There are a few intersecting roads, with one visible at the bottom left corner. The surrounding area is shaded in light green, indicating open or undeveloped land."
MapTrain,16_102.jpg,openai/clip-vit-base-patch32,0.302223,1.000,low,"The google map shows a section of a road labeled ""3011"" running horizontally. The Wissahickon Ski Club is marked along this road. A smaller road, Brook Ln, intersects or runs parallel to the main road. A blue line, likely representing a waterway, is visible near Brook Ln. There is a green area at the bottom, possibly indicating a park or forested region."
MapTrain,16_104.jpg,openai/clip-vit-base-patch32,0.341209,0.920,medium,"The google map shows two intersecting roads: Durham Road, running horizontally, and New Hope Road, running vertically. The surrounding area is shaded in light green, indicating open or undeveloped land. The roads intersect at a right angle."
MapTrain,16_108.jpg,openai/clip-vit-base-patch32,0.358934,0.920,medium,"The google map shows a small area with several streets and landmarks. Warren Way is a curved road that intersects with Latham Ln. Neck Rd is located to the northeast. B. Bernice Young Elementary School is situated near Neck Rd. ProTrappers is marked near the intersection of Warren Way and Neck Rd. There is a green area to the south, indicating a park or open space."
MapTrain,16_112.jpg,openai/clip-vit-base-patch32,0.344609,1.000,low,"The google map shows a network of roads in a lightly populated area. Green Lane Road runs diagonally from the top left to the bottom right. Charwynn Lane intersects Green Lane Road and runs vertically. Old Farm Lane is parallel to Charwynn Lane, located to its right. A waterway is visible on the left side, running roughly parallel to Green Lane Road. The area is predominantly green, indicating open or undeveloped land."
MapTrain,16_113.jpg,openai/clip-vit-base-patch32,0.372795,1.000,low,"The google map shows a section of Assiscunk Creek flowing horizontally across the image. To the north of the creek is Assiscunk Creek Park 2. The area is predominantly green, indicating parkland or natural surroundings. The creek appears to have a winding path."
MapTrain,16_114.jpg,openai/clip-vit-base-patch32,0.351483,1.000,low,"The google map shows a section of an area with two labeled locations: Townsend Machine and Dagli Farm. Sykesville Road runs vertically on the right side of the map. A small, unnamed blue line, possibly a stream, is visible on the left side. The map background is light green, indicating a rural or undeveloped area."
MapTrain,16_118.jpg,openai/clip-vit-base-patch32,0.441454,1.000,low,"The google map shows a location marked as ""Booterbeer Brewing Company,"" indicated by an icon of a glass. A river or stream is depicted in the upper part of the map, flowing from left to right. The surrounding area is primarily green, suggesting a rural or natural setting."
MapTrain,16_119.jpg,openai/clip-vit-base-patch32,0.360505,0.920,medium,"The google map shows a light green area with a waterway labeled ""Long Brook"" running horizontally. Below it, there is a feature labeled ""Cranberry Bog."" A road or path is visible, running parallel to the brook and bog. The map is oriented with north at the top."
MapTrain,16_120.jpg,openai/clip-vit-base-patch32,0.335563,0.920,medium,"The google map shows a section of a road network. Route 532 runs diagonally from the bottom left to the top right. Meadow View Drive intersects Route 532 from the left. Aqueduct Road runs parallel to a nearby waterway, crossing Route 532 and intersecting with Meadow View Drive. The area is primarily green, indicating open or undeveloped land."
MapTrain,16_121.jpg,openai/clip-vit-base-patch32,0.275674,1.000,low,"The google map shows a section of Byberry Creek, which flows diagonally from the bottom left to the top right. The creek is surrounded by a light green area, indicating a possible park or natural area. The surrounding area is mostly white, suggesting developed or non-natural land."
MapTrain,16_124.jpg,openai/clip-vit-base-patch32,0.404509,1.000,low,"The google map shows a section with two roads, Wrightstown Georgetown Road and Mt Pleasant Road, intersecting each other. Crafts Creek is located to the north of the intersection, running in a generally east-west direction. The area appears to be predominantly green, indicating a rural or undeveloped region."
MapTrain,16_126.jpg,openai/clip-vit-base-patch32,0.372709,0.920,medium,"The google map shows a geographic area featuring a waterway labeled ""Shannoc Brook"" running through it. There is a road named ""Success Rd"" located to the southwest of the brook. The area is depicted with a light green background, indicating land. The brook and road intersect or run parallel in certain sections."
MapTrain,16_130.jpg,openai/clip-vit-base-patch32,0.380599,1.000,low,"The google map shows a location labeled ""NJ Fish And Game Training Center."" The area is predominantly green, indicating land, with a blue section in the lower left corner, suggesting a body of water. The training center is situated near this water feature."
MapTrain,16_132.jpg,openai/clip-vit-base-patch32,0.327603,1.000,low,"The google map shows a network of roads. New Village Rd runs horizontally across the map, intersecting with Oakwood Way. Argyle Way and Meridian Ct are located to the north of New Village Rd, while Ellsworth Dr is to the south. A green area, possibly indicating a park or green space, runs parallel to New Village Rd."
MapTrain,16_133.jpg,openai/clip-vit-base-patch32,0.293605,1.000,low,"The google map shows a section of a light green area, indicating a natural or undeveloped region. A winding blue line, likely representing a river or stream, runs horizontally across the map. To the right, a gray line labeled ""S Hope Chapel Rd"" runs vertically, indicating a road. The spatial relationship shows the road parallel to the stream, with the stream curving through the landscape."
MapTrain,16_135.jpg,openai/clip-vit-base-patch32,0.340873,1.000,low,"The google map shows a section with a creek labeled ""Little Valley Creek"" running horizontally. A road named ""N Valley Rd"" runs vertically, intersecting with ""Fox Hill Ln"" near the top. A highway or major road crosses horizontally at the bottom of the map. The area is likely semi-rural or suburban, indicated by the presence of roads and a creek."
MapTrain,16_137.jpg,openai/clip-vit-base-patch32,0.307328,1.000,low,"The google map shows a section of Hedding Jacksonville Road running vertically. A point of interest labeled ""Market"" is located to the left of the road. The surrounding area is shaded in green, indicating open or undeveloped land."
MapTrain,16_139.jpg,openai/clip-vit-base-patch32,0.307355,1.000,low,"The google map shows a section of Archertown Road, which runs diagonally from the top left to the bottom right. A point of interest, ""K's Tax & Accounting Services,"" is marked along this road. The surrounding area appears to be a uniform green, indicating open space or undeveloped land."
MapTrain,16_146.jpg,openai/clip-vit-base-patch32,0.350659,1.000,low,"The google map shows a section of a road network. Conshohocken State Road runs horizontally across the top. Green Valley Road branches off to the left, while Norsam Road extends downward from Conshohocken State Road. The area is shaded in green, indicating a possible park or green space."
MapTrain,16_147.jpg,openai/clip-vit-base-patch32,0.298457,0.920,medium,"The google map shows a section of Interstate 295, which runs diagonally from the bottom left to the top right. There is a nearby location marked as ""XJF1 Amazon"" to the right of the highway. The area surrounding the highway and location is light green, indicating open space or undeveloped land. There is also a smaller road or ramp intersecting with the highway on the left side."
MapTrain,16_149.jpg,openai/clip-vit-base-patch32,0.392754,1.000,low,"The google map shows a network of roads in a green area. Burrs Road runs vertically, intersecting with Oxmead Road horizontally. Hill Road branches off from Oxmead Road. A location labeled ""East Hill Stables"" is situated near the intersection of Burrs Road and Oxmead Road."
MapTrain,16_15.jpg,openai/clip-vit-base-patch32,0.317319,1.000,low,"The google map shows a light green area with a blue line labeled ""Miry Run"" running diagonally from the bottom left to the top right. The blue line likely represents a waterway, such as a river or stream. The surrounding area is uniformly colored, indicating a possibly undeveloped or natural landscape."
MapTrain,16_153.jpg,openai/clip-vit-base-patch32,0.368438,1.000,low,"The google map shows a network of light blue lines representing water bodies, with ""Jumping Brook"" labeled along one of the streams. A road labeled ""Cranberry Canners Rd"" runs across the top of the map. The water bodies appear to intersect and branch out in various directions."
MapTrain,16_155.jpg,openai/clip-vit-base-patch32,0.380079,1.000,low,"The google map shows a curved road labeled ""Belamour Dr"" that loops around. To the right of the road, there is a small blue area, likely representing a body of water. The surrounding area is shaded in green, indicating land or vegetation."
MapTrain,16_158.jpg,openai/clip-vit-base-patch32,0.367350,0.920,medium,"The google map shows two labeled locations: ""FlightServ"" and ""Aviation Charters, Inc."" These are positioned near each other, with FlightServ slightly to the northeast of Aviation Charters, Inc. A diagonal line, possibly representing a runway or road, runs across the map from the northwest to the southeast."
MapTrain,16_16.jpg,openai/clip-vit-base-patch32,0.351217,1.000,low,"The google map shows an area labeled ""James Monroe Memorial Park."" A light blue line, likely representing a road or path, runs diagonally across the map from the top right to the bottom left. The surrounding area is shaded in green, indicating parkland or a natural area."
MapTrain,16_160.jpg,openai/clip-vit-base-patch32,0.319847,1.000,low,"The google map shows a location labeled ""Define Solutions."" It is situated near a network of roads and a railway line. The area around the location is shaded in green, indicating a possible park or open space. The roads form a grid-like pattern to the right of the location."
MapTrain,16_161.jpg,openai/clip-vit-base-patch32,0.309575,0.920,medium,"The google map shows a network of roads and a waterway. Hershey Mill Road runs diagonally from the southwest to the northeast. Tanglewood Drive intersects Hershey Mill Road and runs eastward. A waterway flows parallel to Hershey Mill Road. Millstream Drive is located at the top of the map, running horizontally. The area around Hershey Mill Road is shaded green, indicating a possible park or green space."
MapTrain,16_164.jpg,openai/clip-vit-base-patch32,0.364573,1.000,low,"The google map shows an area labeled ""Laurel Hill West Conservatory."" It features a network of roads or pathways, depicted in light gray, intersecting and curving throughout the green area, which likely represents vegetation or parkland. There is a river or large body of water on the right side of the map, shown in blue."
MapTrain,16_167.jpg,openai/clip-vit-base-patch32,0.293958,1.000,low,"The google map shows a section of Smithville Road, which runs diagonally from the top left to the bottom right. There is a short, unnamed road branching off from Smithville Road towards the top left. The surrounding area is shaded in green, indicating open space or vegetation."
MapTrain,16_169.jpg,openai/clip-vit-base-patch32,0.370376,1.000,low,"The google map shows an area labeled Juliustown Park, which is situated in a green-shaded region indicating a park or natural area. A road labeled Main St runs horizontally across the map. There is a blue line to the right, suggesting a water feature such as a stream or canal. The map is oriented with north at the top."
MapTrain,16_171.jpg,openai/clip-vit-base-patch32,0.366497,1.000,low,"The google map shows a location marked as ""Merrill Lynch"" with a pin icon. It is situated near a network of roads, which are depicted as light gray lines. The surrounding area is shaded in light green, indicating open or undeveloped land. The roads appear to intersect and curve around the marked location."
MapTrain,16_172.jpg,openai/clip-vit-base-patch32,0.369724,1.000,low,"The google map shows a section of an area featuring the Downingtown Country Club, which is adjacent to a large green space indicating a park or golf course. To the northwest, there is a location marked as ""Always Best Care Senior Services - Home Care."" The map includes roads and pathways, with the country club situated near the center. A small body of water is visible to the east within the green area."
MapTrain,16_173.jpg,openai/clip-vit-base-patch32,0.337848,1.000,low,"The google map shows a network of roads. Clyde Rd runs vertically on the left side. Arbor Pl branches off Clyde Rd towards the right. Drakes Drum Dr is parallel to Arbor Pl, extending horizontally. The roads form a grid-like pattern."
MapTrain,16_176.jpg,openai/clip-vit-base-patch32,0.365277,1.000,low,"The google map shows a section of Quarry Road, which runs horizontally across the image. There is a smaller road intersecting Quarry Road from the bottom. The surrounding area is shaded in light green, indicating open or undeveloped land."
MapTrain,16_181.jpg,openai/clip-vit-base-patch32,0.362347,1.000,low,"The google map shows a section of a road labeled ""320"" running vertically. To the right of the road is ""Ithan Elementary School,"" marked with a school icon. There are a few curved lines indicating smaller roads or paths in the vicinity."
MapTrain,16_183.jpg,openai/clip-vit-base-patch32,0.306084,1.000,low,"The google map shows a section of a light blue waterway labeled ""Pine Brook"" running diagonally from the bottom left to the top right. The surrounding area is mostly blank, indicating a lack of additional geographic features or labels in this specific section."
MapTrain,16_185.jpg,openai/clip-vit-base-patch32,0.363894,1.000,low,"The google map shows a section of Monmouth Road running horizontally. To the north of the road is a location labeled ""Mulch and Stone World,"" marked with a shopping bag icon. The surrounding area is shaded green, indicating open or undeveloped land."
MapTrain,16_186.jpg,openai/clip-vit-base-patch32,0.323468,1.000,low,"The google map shows a section with two roads labeled ""Wet Break Rd"" and ""Carwash Rd"" intersecting or running parallel. There is a light blue line in the upper right corner, possibly indicating a water feature such as a river or stream. The background is a light gray, suggesting a non-detailed or neutral area."
MapTrain,16_189.jpg,openai/clip-vit-base-patch32,0.322543,1.000,low,"The google map shows a curved road labeled ""Rabbit Run Rd"" that forms a loop. The surrounding area is predominantly green, indicating open space or vegetation. There is a small blue rectangular feature to the left of the road, which may represent a body of water or a similar geographic entity."
MapTrain,16_19.jpg,openai/clip-vit-base-patch32,0.385909,0.920,medium,"The google map shows a recreational area with several labeled features. There is a ""Kuschick Pavilion"" located towards the top. Below it, there is a ""Recreation Center Field E Parking Lot"" marked with a parking symbol. To the bottom left, ""Manalapan Recreation Center Softball Field 3"" is indicated. The area is surrounded by green spaces, suggesting fields or parks."
MapTrain,16_192.jpg,openai/clip-vit-base-patch32,0.402784,0.920,medium,"The google map shows a section of Cedar Lane with two marked locations: ""Bobs Pet Stop Inc"" and ""Med Tex Services."" Both locations are situated along the same road, Cedar Lane, which runs diagonally from the top left to the bottom right of the map. The surrounding area is shaded green, indicating a non-urban or possibly rural setting."
MapTrain,16_195.jpg,openai/clip-vit-base-patch32,0.292819,1.000,low,"The google map shows a section of the Delaware River, which serves as a boundary between New Jersey and Pennsylvania. A dashed line indicates the state border running along the river. To the east of the river, there is a road labeled with the number 29. The D&R Canal is also marked near the road."
MapTrain,16_196.jpg,openai/clip-vit-base-patch32,0.327749,1.000,low,"The google map shows a section with two roads: Cookstown Browns Mills Rd running horizontally near the top and Range Rd intersecting it. There is a green area in the lower part of the map, indicating a possible park or forested region. A blue line, likely representing a stream or small river, runs vertically through the green area."
MapTrain,16_198.jpg,openai/clip-vit-base-patch32,0.350013,0.920,medium,"The google map shows a section of a road labeled ""70"" running diagonally from the bottom left to the top right. A location marked as ""Park Rod And Gun Club"" is indicated along this road, with a note that it is temporarily closed. The surrounding area is shaded in light green, suggesting open or undeveloped land. A thin, light gray line intersects the road, possibly representing a boundary or minor road."
MapTrain,16_199.jpg,openai/clip-vit-base-patch32,0.291756,1.000,low,"The google map shows a section of Glenside Road running diagonally from the bottom left to the top right. The surrounding area is shaded in green, indicating a natural or undeveloped region. There are no other visible geographic entities or labels on this map segment."
